Path,Station,Date,TMSTAMP,RECNBR,StnID,BatMin,ProgSig,AvgAir_T,MaxAir_T,HmMaxAir_T,MinAir_T,HmMinAir_T,AvgRH,MaxRH,HmMaxRH,MinRH,HmMinRH,Pluvio_Rain,MaxWS,HmMaxWS,AvgWS,AvgWD,AvgSD,AvgSoil_T05,MaxSoil_T05,MinSoil_T05,AvgRS_kw,MaxRS_kw,HmMaxRS,TotRS_MJ,TBRG_Rain,Avg_Soil_TP5_TempC,Max_Soil_TP5_TempC,Min_Soil_TP5_TempC,Avg_Soil_TP5_VMC,Max_Soil_TP5_VMC,Min_Soil_TP5_VMC,Avg_Soil_TP20_TempC,Max_Soil_TP20_TempC,Min_Soil_TP20_TempC,Avg_Soil_TP20_VMC,Max_Soil_TP20_VMC,Min_Soil_TP20_VMC,Avg_Soil_TP50_TempC,Max_Soil_TP50_TempC,Min_Soil_TP50_TempC,Avg_Soil_TP50_VMC,Max_Soil_TP50_VMC,Min_Soil_TP50_VMC,Avg_Soil_TP100_TempC,Max_Soil_TP100_TempC,Min_Soil_TP100_TempC,Avg_Soil_TP100_VMC,Max_Soil_TP100_VMC,Min_Soil_TP100_VMC,EvapTot24
NULL,taylorspoint,2023-05-02,"2023-05-03 00:00:00",776,515,12.52,7999,6.207,14.24,"2023-05-02 18:30:00",-2.795,"2023-05-02 05:58:00",55.43,96.3,"2023-05-02 06:49:00",28.22,"2023-05-02 20:47:00",0,9.29,"2023-05-02 21:31:05",3.4,181.2,89.6,5.33,9.02,2.003,0.295,0.833,"2023-05-02 13:42:45",25.46721,0,6.647,11.63,2.186,39.04,39.37,38.69,4.172,5.512,3.07,37.44,37.77,37.18,NULL,NULL,NULL,NULL,NULL,NULL,1.434,1.445,1.413,38.3,38.34,38.26,4.688
NULL,swanvalley,2023-05-02,"2023-05-03 00:00:00",776,231,12.52,7999,11.71,23.32,"2023-05-02 18:30:00",-1.481,"2023-05-02 04:21:00",40.27,83.6,"2023-05-02 04:24:00",14.49,"2023-05-02 18:24:00",0,13.56,"2023-05-02 16:04:40",4.449,237.7,29.68,6.43,7.95,5.013,0.271,0.816,"2023-05-02 14:14:20",23.35825,0,6.972,8.48,5.369,37.43,38.25,36.47,6.283,6.827,5.771,49.65,50.78,49.1,4.876,4.97,4.754,47.17,47.21,47.12,3.913,3.993,3.825,45.25,45.3,45.21,7.526
NULL,stpierre,2023-05-02,"2023-05-03 00:00:00",766,203,12.89,784,7.251,16.82,"2023-05-02 18:14:00",-2.589,"2023-05-02 04:57:00",56.82,91,"2023-05-02 05:01:00",26.58,"2023-05-02 16:01:00",0,7.977,"2023-05-02 11:16:45",3.066,345.3,50.31,5.696,9.87,2.053,0.288,0.819,"2023-05-02 13:44:15",24.88305,0,5.628,7.068,4.412,38.15,38.37,38,4.806,5.503,4.351,34.73,34.95,34.63,3.294,3.372,3.171,37.14,37.2,37.09,2.693,2.772,2.618,46.5,46.57,46.32,4.721
NULL,stonewall,2023-05-02,"2023-05-03 00:00:00",758,555,12.55,7999,8.47,16.88,"2023-05-02 18:23:00",-2.042,"2023-05-02 06:27:00",45.29,82.3,"2023-05-02 05:57:00",18.41,"2023-05-02 19:02:00",0,8.17,"2023-05-02 15:16:15",2.723,319.8,67.48,5.075,9.77,1.096,0.311,0.893,"2023-05-02 13:30:05",26.79609,0,5.343,8.53,2.646,38.77,39.07,38.44,3.429,4.552,2.764,40.99,41.39,40.8,1.076,1.089,1.067,37.04,37.49,36.73,1.132,1.139,1.107,25.23,25.25,25.21,5.221
NULL,stlazare,2023-05-02,"2023-05-03 00:00:00",776,529,12.76,7999,10.28,21.26,"2023-05-02 17:52:00",-3.429,"2023-05-02 06:18:00",44.18,95.7,"2023-05-02 06:24:00",16.87,"2023-05-02 18:57:00",0,8.62,"2023-05-02 18:15:40",2.741,175.2,55.99,7.652,12.15,3.528,0.286,0.8,"2023-05-02 12:51:10",24.64917,0,8.79,11.87,6.085,35.21,35.52,34.33,6.797,8.19,5.869,32.63,32.75,32.42,NULL,NULL,NULL,50.58,50.64,50.48,3.964,4.077,3.857,43.76,43.82,43.68,5.944
NULL,sterose,2023-05-02,"2023-05-03 00:00:00",776,211,12.46,7999,10.31,23.31,"2023-05-02 19:32:00",-2.628,"2023-05-02 06:05:00",52.4,94.6,"2023-05-02 03:41:00",16.14,"2023-05-02 19:32:00",0,6.978,"2023-05-02 15:07:45",1.921,202.6,51.28,2.329,4.152,0.897,0.294,0.823,"2023-05-02 13:14:30",25.38147,0,6.33,8.69,4.188,37.03,37.31,36.71,3.083,4.107,2.393,39.92,40.04,39.69,1.722,1.856,1.508,36.27,36.33,36.2,1.756,1.777,1.739,44.33,44.36,44.29,5.102
NULL,steinbach,2023-05-02,"2023-05-03 00:00:00",765,223,12.67,7999,7.694,16.44,"2023-05-02 18:47:00",-1.865,"2023-05-02 05:56:00",55.3,93.1,"2023-05-02 06:02:00",26.77,"2023-05-02 16:21:00",0,8.88,"2023-05-02 11:49:20",3.183,326.3,56.83,5.83,10.16,2.042,0.015,0.043,"2023-05-02 13:58:50",1.148165,0,8.99,11.16,7.219,44.55,45.06,44.01,3.736,4.492,3.384,43.45,43.95,42.87,1.57,1.656,1.474,48.63,48.7,48.52,3.22,3.239,3.198,45.32,45.54,44.99,2.391
NULL,stead,2023-05-02,"2023-05-03 00:00:00",775,565,12.62,7999,8.17,16.99,"2023-05-02 18:15:00",-1.929,"2023-05-02 05:38:00",44.83,80,"2023-05-02 05:40:00",18.47,"2023-05-02 16:24:00",0,8.94,"2023-05-02 00:00:30",3.326,330.7,54.45,5.653,9.26,2.623,0.302,0.852,"2023-05-02 13:39:00",26.05614,0,4.767,6.641,3.102,35.13,35.33,34.97,2.344,2.959,2.06,36.62,36.83,36.54,1.345,1.36,1.327,29.27,29.64,29.05,2.104,2.127,2.085,51.44,51.52,51.38,5.466
NULL,stclaude,2023-05-02,"2023-05-03 00:00:00",770,554,12.86,7999,9.33,18.51,"2023-05-02 17:53:00",0.298,"2023-05-02 05:55:00",45.85,71.42,"2023-05-02 06:43:00",18.87,"2023-05-02 16:49:00",0,5.174,"2023-05-02 13:02:10",2.332,279.1,62.13,6.873,12.92,1.718,0.305,0.879,"2023-05-02 13:50:55",26.28527,0,8.71,12.72,5.442,41.41,41.52,41.25,9.59,11.24,8.56,37.91,38.01,37.76,1.58,1.815,1.491,44.18,44.87,42.51,0.905,0.92,0.884,39.24,39.41,39.06,4.914
NULL,starbuck,2023-05-02,"2023-05-03 00:00:00",776,202,12.58,7999,7.555,18.71,"2023-05-02 19:32:00",-3.584,"2023-05-02 06:08:00",52.61,90.1,"2023-05-02 06:11:00",20.41,"2023-05-02 16:37:00",0,8.31,"2023-05-02 15:12:00",3.094,300.1,60.09,4.27,8.04,1.435,0.307,0.87,"2023-05-02 13:41:50",26.5112,0,4.818,7.892,2.467,41.75,42.13,41.24,2.446,3.507,1.904,40.38,40.94,40.01,0.477,0.514,0.457,27.75,27.82,27.69,0.889,0.919,0.857,34.82,34.91,34.74,5.113
