Path,Station,Date,TMSTAMP,RECNBR,StnID,BatMin,ProgSig,AvgAir_T,MaxAir_T,HmMaxAir_T,MinAir_T,HmMinAir_T,AvgRH,MaxRH,HmMaxRH,MinRH,HmMinRH,Pluvio_Rain,MaxWS,HmMaxWS,AvgWS,AvgWD,AvgSD,AvgSoil_T05,MaxSoil_T05,MinSoil_T05,AvgRS_kw,MaxRS_kw,HmMaxRS,TotRS_MJ,TBRG_Rain,Avg_Soil_TP5_TempC,Max_Soil_TP5_TempC,Min_Soil_TP5_TempC,Avg_Soil_TP5_VMC,Max_Soil_TP5_VMC,Min_Soil_TP5_VMC,Avg_Soil_TP20_TempC,Max_Soil_TP20_TempC,Min_Soil_TP20_TempC,Avg_Soil_TP20_VMC,Max_Soil_TP20_VMC,Min_Soil_TP20_VMC,Avg_Soil_TP50_TempC,Max_Soil_TP50_TempC,Min_Soil_TP50_TempC,Avg_Soil_TP50_VMC,Max_Soil_TP50_VMC,Min_Soil_TP50_VMC,Avg_Soil_TP100_TempC,Max_Soil_TP100_TempC,Min_Soil_TP100_TempC,Avg_Soil_TP100_VMC,Max_Soil_TP100_VMC,Min_Soil_TP100_VMC,EvapTot24
NULL,moosehorn,2023-04-30,"2023-05-01 00:00:00",775,205,12.56,7999,5.48,11.81,"2023-04-30 14:40:00",-0.856,"2023-04-30 06:13:00",69.19,97.6,"2023-04-30 05:18:00",39.64,"2023-04-30 17:23:00",0,12.78,"2023-04-30 14:25:05",4.838,346.8,23.61,4.404,6.857,2.264,0.304,0.949,"2023-04-30 13:49:55",26.21774,0.2,5.328,6.924,3.901,48.95,53.76,42.86,4.852,5.239,4.533,41.21,41.31,41.08,4.295,4.465,4.188,NULL,NULL,NULL,3.621,3.728,3.513,49.72,49.78,49.65,4.395
NULL,minto,2023-04-30,"2023-05-01 00:00:00",775,506,12.73,7999,4.74,12.22,"2023-04-30 16:35:00",-2.222,"2023-04-30 03:02:00",67.23,93.4,"2023-04-30 03:15:00",35.02,"2023-04-30 14:45:00",0,12.31,"2023-04-30 15:00:20",4.557,349,40.76,6.66,8.97,4.617,0.273,1.146,"2023-04-30 13:43:05",23.53417,0,2.99,3.905,2.289,NULL,NULL,NULL,2.866,3.461,2.601,52.45,55.76,38.88,4.582,4.738,4.371,NULL,NULL,NULL,2.94,3.063,2.82,47.66,47.72,47.61,4.158
NULL,minnedosa,2023-04-30,"2023-05-01 00:00:00",748,221,12.66,7999,4.175,10.57,"2023-04-30 16:20:00",-1.184,"2023-04-30 03:39:00",68.31,99.9,"2023-04-30 03:40:00",34.3,"2023-04-30 19:05:00",0,13.47,"2023-04-30 12:54:20",6.666,336.8,33.79,4.685,8.85,1.27,0.287,0.877,"2023-04-30 15:57:35",24.75145,0,5.866,8.3,3.754,25.1,25.55,24.51,3.486,4.607,2.509,34.34,34.52,34.22,1.086,1.101,1.065,26.4,28.41,24.59,1.659,1.674,1.645,19.27,19.3,19.25,4.267
NULL,minitonas,2023-04-30,"2023-05-01 00:00:00",772,510,12,7999,5.424,11.63,"2023-04-30 16:54:00",-1.216,"2023-04-30 04:13:00",67.24,95.7,"2023-04-30 04:21:00",39.28,"2023-04-30 17:51:00",0,8.39,"2023-04-30 16:48:40",2.703,339.4,66.54,4.361,6.885,1.972,0.04,0.04,"2023-04-30 00:00:05",3.45955,0,6.537,10.03,3.024,41.82,42.69,40.79,4.664,5.666,3.702,37.36,37.87,36.81,1.168,1.192,1.159,28.35,29.02,26.97,NULL,NULL,NULL,38.05,38.2,37.83,1.645
NULL,miniota,2023-04-30,"2023-05-01 00:00:00",753,547,12.87,7999,4.789,13.22,"2023-04-30 16:36:00",-3.536,"2023-04-30 06:42:00",64.8,95.7,"2023-04-30 04:28:00",28.1,"2023-04-30 15:40:00",0,8.68,"2023-04-30 13:51:35",2.962,353.9,39,5.687,8.73,3.055,0.298,1.161,"2023-04-30 14:05:35",25.68546,0,6.056,8.28,4.151,28.69,28.81,28.59,5.543,6.691,4.645,25.13,25.33,25.01,NULL,NULL,NULL,7.868,14.75,3.967,3.017,3.128,2.896,26.84,26.93,26.75,4.286
NULL,menisino,2023-04-30,"2023-05-01 00:00:00",775,255,12.42,2630,6.32,12.38,"2023-04-30 15:24:00",-0.937,"2023-04-30 06:23:00",56.87,86.8,"2023-04-30 06:23:00",32.19,"2023-04-30 14:32:00",0,16.74,"2023-04-30 12:34:50",6.425,350.4,15.9,5.011,7.267,2.717,0.261,1.286,"2023-04-30 13:33:00",22.56061,0,6.661,10.04,3.761,13.17,13.55,12.67,5.887,6.885,4.93,15.9,16.07,15.75,5.014,5.066,4.923,10.07,10.13,10.01,3.856,3.961,3.737,40.13,40.16,40.09,5.164
NULL,mcauley,2023-04-30,"2023-05-01 00:00:00",775,546,12.74,7999,5.245,12.9,"2023-04-30 16:55:00",-2.678,"2023-04-30 05:26:00",64.9,99.8,"2023-04-30 01:08:00",29.42,"2023-04-30 16:51:00",0,8.6,"2023-04-30 12:07:40",3.206,340.6,35.11,5.576,9.8,1.975,0.3,1.224,"2023-04-30 13:37:10",25.8664,0,3.566,5.868,1.725,29.72,30.11,29.39,2.765,3.78,2.159,31.94,32.2,31.74,NULL,NULL,NULL,22.42,22.64,22.22,1.971,2.008,1.927,29.95,30,29.9,4.191
NULL,marchand,2023-04-30,"2023-05-01 00:00:00",775,537,12.69,7999,5.748,11.81,"2023-04-30 17:03:00",-1.257,"2023-04-30 06:08:00",63.64,95.3,"2023-04-30 06:11:00",36.18,"2023-04-30 13:41:00",0,15.7,"2023-04-30 15:09:05",5.959,331.4,13.55,3.099,5.126,1.093,0.278,1.224,"2023-04-30 14:36:05",23.99489,0,2.415,3.301,1.556,19.07,19.53,18.64,2.414,2.746,2.137,23.44,24.62,22.36,2.675,2.7,2.656,29.18,29.58,28.73,2.347,2.352,2.333,34.37,34.44,34.33,4.79
NULL,manitou,2023-04-30,"2023-05-01 00:00:00",775,242,12.77,7999,4.9,10.36,"2023-04-30 16:41:00",0.358,"2023-04-30 06:17:00",70.24,96.2,"2023-04-30 07:28:00",37.34,"2023-04-30 15:19:00",0,10.05,"2023-04-30 16:38:45",5.91,345.2,15.39,4.797,7.702,2.347,0.276,1.135,"2023-04-30 12:55:30",23.79048,0,5.409,6.78,4.143,37.29,37.98,36.53,3.888,4.363,3.506,39.42,39.81,39.03,2.838,2.858,2.802,37.68,37.9,37.49,3.043,3.055,3.034,43.62,43.95,43.26,3.905
NULL,laurier,2023-04-30,"2023-05-01 00:00:00",759,553,12.82,7999,5.883,11.13,"2023-04-30 17:30:00",1.012,"2023-04-30 04:20:00",68.78,88.5,"2023-04-30 04:22:00",40.38,"2023-04-30 18:40:00",0,10.94,"2023-04-30 16:23:45",5.758,328.5,22.65,4.736,7.391,2.592,0.288,0.999,"2023-04-30 15:20:55",24.85023,0,5.345,7.105,3.939,42.5,42.77,42.09,11.16,11.94,10.69,38.53,38.56,38.48,4.623,4.77,4.435,30.15,30.23,30.1,2.468,2.603,2.326,45.59,45.67,45.52,4.046
NULL,lakeland,2023-04-30,"2023-05-01 00:00:00",775,539,12.75,7999,5.82,11.95,"2023-04-30 15:57:00",0.45,"2023-04-30 04:25:00",69.96,93.3,"2023-04-30 04:27:00",41.37,"2023-04-30 18:01:00",0,14.27,"2023-04-30 18:09:20",6.704,342.5,20.58,5.183,8.47,2.405,0.31,0.938,"2023-04-30 14:19:30",26.77284,0,6.205,8.99,3.761,35.71,36.01,35.17,6.531,7.218,6.017,28.28,28.34,28.2,3.966,4.111,3.904,33,33.11,32.92,3.218,3.346,3.061,44.25,44.42,43.89,4.646
NULL,lakefrancis,2023-04-30,"2023-05-01 00:00:00",775,556,12.53,7999,5.946,12.74,"2023-04-30 15:57:00",-0.803,"2023-04-30 06:39:00",64.82,96.4,"2023-04-30 06:47:00",33.9,"2023-04-30 17:18:00",0,14.33,"2023-04-30 17:03:10",4.972,338.6,22.9,1.592,3.458,0.013,0.29,1.163,"2023-04-30 14:44:50",25.00923,0,1.737,2.269,1.36,47.56,48.65,47.13,1.178,1.189,1.158,16.96,17.07,16.87,4.64,4.649,4.629,40,40.04,39.95,2.937,2.946,2.923,34.81,34.88,34.71,4.569
NULL,lakeaudy,2023-04-30,"2023-05-01 00:00:00",775,549,12.7,7999,5.083,10.78,"2023-04-30 17:31:00",-0.523,"2023-04-30 03:05:00",62.64,92.7,"2023-04-30 03:18:00",33.98,"2023-04-30 16:53:00",0,9.62,"2023-04-30 11:25:25",2.577,2.852,27.82,8.68,NULL,3.109,0.302,1.144,"2023-04-30 14:01:10",26.06878,0,8.1,12.22,5.036,36.74,37.28,36.33,6.137,7.253,5.409,37.62,37.77,37.5,4.078,4.169,3.952,26.39,26.42,26.33,3.263,3.339,3.179,29.78,29.83,29.76,4.127
NULL,lacdubonnet,2023-04-30,"2023-05-01 00:00:00",775,557,12.89,7999,5.209,13.32,"2023-04-30 17:13:00",-2.073,"2023-04-30 06:25:00",67.74,97.8,"2023-04-30 03:46:00",30.76,"2023-04-30 17:02:00",0,13.29,"2023-04-30 18:19:00",5.865,347.9,14.92,5.76,7.839,3.717,0.244,1.167,"2023-04-30 13:02:00",21.08797,0,7.13,8.04,6.073,40.39,40.74,40.09,4.506,4.59,4.426,48.25,48.55,47.81,3.977,4.054,3.869,46.25,46.37,46.13,3.161,3.23,3.108,49.14,49.2,49.07,4.639
NULL,kola,2023-04-30,"2023-05-01 00:00:00",775,531,12.65,7999,5.489,12.15,"2023-04-30 18:08:00",-1.205,"2023-04-30 06:09:00",66.81,99.9,"2023-04-30 01:35:00",31.47,"2023-04-30 18:42:00",0,9.35,"2023-04-30 12:22:30",3.84,342.4,32.06,-0.162,-0.151,-0.173,0.267,1.037,"2023-04-30 13:41:50",23.07628,0,8.44,11.37,6.1,23.09,23.37,22.7,3.54,4.707,2.511,29.59,29.91,29.23,1.305,1.325,1.291,28.23,28.36,28.1,1.391,1.402,1.379,28.57,28.94,28.26,3.722
NULL,killarney,2023-04-30,"2023-05-01 00:00:00",775,220,12.48,3854,4.497,11.57,"2023-04-30 16:15:00",-2.589,"2023-04-30 05:43:00",70.25,100,"2023-04-30 07:45:00",33.22,"2023-04-30 14:01:00",0,13.82,"2023-04-30 16:58:10",5.285,337.8,35.23,3.798,5.973,1.83,0.284,1.055,"2023-04-30 12:50:50",24.51975,0,6.23,7.788,4.917,51.66,51.93,51.19,4.593,5.385,4.014,44.99,45.1,44.86,2.864,2.96,2.74,46.34,46.45,46.15,3.303,3.324,3.287,52.17,52.28,52.02,4.192
NULL,kenton,2023-04-30,"2023-05-01 00:00:00",775,548,12.93,7999,5.084,12.91,"2023-04-30 14:42:00",-2.472,"2023-04-30 03:44:00",64.77,98,"2023-04-30 01:34:00",29.42,"2023-04-30 17:55:00",0,10.66,"2023-04-30 15:39:55",4.321,354.2,29.28,5.355,8.24,2.9,0.306,1.105,"2023-04-30 13:35:40",26.43353,0,5.283,6.582,4.092,43.2,43.5,42.89,4.733,5.249,4.328,47.08,47.18,46.97,3.73,3.769,3.665,43.39,43.46,43.31,8.76,8.83,8.68,44.4,44.49,44.35,4.627
NULL,keld,2023-04-30,"2023-05-01 00:00:00",775,532,12.84,7999,5.002,11.3,"2023-04-30 17:17:00",-1.603,"2023-04-30 01:34:00",69.38,99.7,"2023-04-30 02:33:00",36.92,"2023-04-30 14:12:00",0,10.96,"2023-04-30 13:08:40",3.134,331.7,75.59,4.731,9.41,1.083,0.271,1.08,"2023-04-30 14:27:45",23.42155,0,4.81,8.15,1.904,36.29,36.8,35.83,3.489,4.988,2.276,30.93,31.16,30.78,1.183,1.201,1.167,35.42,35.65,35.1,1.596,1.606,1.58,48.55,48.59,48.5,3.822
NULL,kane,2023-04-30,"2023-05-01 00:00:00",775,524,12.6,7999,6.097,12.41,"2023-04-30 17:11:00",0.304,"2023-04-30 06:13:00",71.37,95.1,"2023-04-30 06:40:00",40.99,"2023-04-30 18:13:00",0,15.74,"2023-04-30 13:12:20",8.34,334.7,13.25,4.174,6.562,1.864,0.245,1.115,"2023-04-30 13:46:20",21.17121,0,3.89,4.78,3.069,32.01,32.2,31.9,2.684,3.251,2.417,31.28,31.38,31.2,0.474,0.528,0.436,24.77,25.05,24.51,0.474,0.496,0.463,29.47,29.53,29.43,4.028
NULL,inwood,2023-04-30,"2023-05-01 00:00:00",775,516,12.74,7999,6.116,12.89,"2023-04-30 15:36:00",-1.522,"2023-04-30 06:12:00",62.85,100,"2023-04-30 04:03:00",30.04,"2023-04-30 17:26:00",0,15.19,"2023-04-30 14:41:40",4.945,350.1,18.79,4.362,5.301,3.431,0.257,1.116,"2023-04-30 13:32:45",22.20363,0,5.351,7.197,3.677,41.25,41.72,40.73,4.859,5.378,4.48,25.5,26.34,24.65,3.87,3.938,3.771,63.83,63.93,63.74,3.747,3.81,3.68,43.17,43.2,43.12,4.632
NULL,inglis,2023-04-30,"2023-05-01 00:00:00",775,525,12.56,7999,4.214,12.53,"2023-04-30 16:37:00",-4.643,"2023-04-30 04:10:00",66.06,98,"2023-04-30 04:57:00",31.95,"2023-04-30 19:23:00",0,7.33,"2023-04-30 12:16:05",2.417,16.75,49.77,3.389,5.29,1.902,0.282,1.184,"2023-04-30 14:24:00",24.30213,0.2,4.149,5.969,2.997,31.16,31.78,30.85,1.785,2.508,1.358,30.56,31.26,30.32,1.934,2.002,1.854,49.88,59.62,46.63,2.013,2.046,1.983,47.26,47.31,47.19,3.695
NULL,holland,2023-04-30,"2023-05-01 00:00:00",768,559,12.88,7999,5.926,12.3,"2023-04-30 15:52:00",-0.616,"2023-04-30 06:38:00",64.85,96.1,"2023-04-30 06:52:00",32.43,"2023-04-30 17:14:00",0.06,13.39,"2023-04-30 16:45:55",4.955,338.7,27.64,2.751,4.709,1.085,0.281,1.029,"2023-04-30 13:12:55",24.28686,0.2,1.674,2.321,1.229,25.62,26.34,25.36,1.041,1.093,1.015,17.67,17.71,17.65,2.483,2.565,2.386,33.39,33.97,32.58,1.856,1.884,1.828,32.6,33.12,32.1,4.57
NULL,hamiota,2023-04-30,"2023-05-01 00:00:00",753,214,12.72,7999,3.988,11.66,"2023-04-30 16:21:00",-3.505,"2023-04-30 03:35:00",68.49,99.9,"2023-04-30 01:42:00",31.85,"2023-04-30 18:09:00",0,10.35,"2023-04-30 18:14:20",3.63,11.77,32.68,2.264,5.521,0.108,0.274,0.942,"2023-04-30 12:34:35",23.61429,0,3.487,5.702,1.758,32.64,33.29,32.09,2.655,3.741,1.963,25.07,25.41,24.66,2.055,2.18,1.908,24.87,25.37,24.43,1.99,2.02,1.965,28.69,28.73,28.63,3.85
NULL,grandview,2023-04-30,"2023-05-01 00:00:00",775,219,12.57,7999,4.612,12.54,"2023-04-30 17:17:00",-3.347,"2023-04-30 04:37:00",65.93,94.5,"2023-04-30 05:55:00",34.77,"2023-04-30 16:12:00",0,9.53,"2023-04-30 11:30:40",4.011,13.1,75.05,7.022,9.85,4.454,0.274,1.021,"2023-04-30 15:25:50",23.6838,0,7.249,9.59,5.137,34.55,34.76,34.35,2.853,3.411,2.522,39.84,40.02,39.68,4.979,5.02,4.95,33.28,33.9,32.65,2.901,2.935,2.873,46.45,46.98,45.2,4.169
NULL,glenboro,2023-04-30,"2023-05-01 00:00:00",775,239,12.68,7999,5.692,12.22,"2023-04-30 16:53:00",-1.274,"2023-04-30 04:45:00",67.12,98.8,"2023-04-30 04:51:00",35.46,"2023-04-30 13:28:00",0,12.5,"2023-04-30 12:03:05",4.963,353.1,31.77,4.41,8.27,1.267,0.265,0.959,"2023-04-30 14:01:30",22.91727,0,9.67,11.94,7.469,38.09,38.52,37.58,2.284,2.727,1.925,45.09,46.28,43.92,2.46,2.489,2.436,43.25,43.32,43.18,2.171,2.184,2.153,42.22,42.25,42.16,4.31
NULL,gladstone,2023-04-30,"2023-05-01 00:00:00",768,204,12.7,7999,5.855,12.01,"2023-04-30 16:06:00",0.911,"2023-04-30 05:58:00",70.71,100,"2023-04-30 04:15:00",34.77,"2023-04-30 17:55:00",0,11.88,"2023-04-30 14:29:50",5.113,339.9,22.23,0.72,1.519,0.081,0.294,1.117,"2023-04-30 13:34:00",25.41514,0,9.6,10.91,8.51,33.86,34.79,32.69,1.524,1.789,1.371,31.82,32.61,30.92,1.255,1.271,1.244,15.04,15.14,14.92,1.812,1.828,1.802,15.2,15.31,15.08,4.292
NULL,gardenton,2023-04-30,"2023-05-01 00:00:00",775,518,12.7,7999,6.085,11.81,"2023-04-30 16:46:00",-0.121,"2023-04-30 05:06:00",66.99,100,"2023-04-30 04:09:00",40.37,"2023-04-30 15:25:00",0,15.21,"2023-04-30 15:04:30",6.898,340,11.32,5.033,6.427,3.711,0.266,1.102,"2023-04-30 14:01:55",22.91953,0,5.697,7.04,4.361,16.33,16.44,16.24,4.659,5.183,4.204,15.89,15.96,15.84,4.316,4.421,4.199,7.324,7.338,7.298,NULL,NULL,NULL,13.22,13.31,13.1,4.634
NULL,forrest,2023-04-30,"2023-05-01 00:00:00",775,233,12.52,5101,5.563,12.52,"2023-04-30 16:24:00",-0.625,"2023-04-30 06:39:00",60.78,100,"2023-04-30 06:59:00",29.95,"2023-04-30 15:04:00",0,11.23,"2023-04-30 15:13:15",5.145,1.879,21.44,1.199,2.664,0.079,0.279,1.021,"2023-04-30 14:39:25",24.11698,0,2.82,4.099,1.786,32.18,32.75,31.89,1.28,1.292,1.26,26.7,27.05,26.53,1.245,1.257,1.226,8.89,8.91,8.87,1.322,1.343,1.309,21.83,21.89,21.77,4.627
NULL,forkriver,2023-04-30,"2023-05-01 00:00:00",749,511,12.57,7999,5.083,10.94,"2023-04-30 16:51:00",-0.093,"2023-04-30 00:21:00",75.15,100,"2023-04-30 00:02:00",42.49,"2023-04-30 15:52:00",0,9.6,"2023-04-30 17:48:10",4.681,354.2,27.44,7.588,10.61,5.183,0.351,1.109,"2023-04-30 14:06:50",30.28728,NULL,7.464,9.65,5.652,49.31,49.92,48.66,14.35,NULL,13.88,40.99,41.12,40.86,6.105,6.276,5.968,44.2,44.25,44.12,5.263,5.401,5.058,46.94,47.01,46.83,4.435
NULL,fisherton,2023-04-30,"2023-05-01 00:00:00",775,517,12.81,7999,5.786,12.24,"2023-04-30 15:43:00",-0.459,"2023-04-30 06:43:00",64.66,96.4,"2023-04-30 04:48:00",36.44,"2023-04-30 18:41:00",0,9.66,"2023-04-30 16:20:05",2.277,341.9,19.53,3.744,5.872,1.848,0.272,0.988,"2023-04-30 13:17:10",23.45218,0,3.352,4.976,1.879,37.63,38.43,36.91,2.273,3.003,1.709,47.26,48.78,45.5,1.895,2.021,1.768,60.23,60.39,60.12,2.288,2.31,2.263,49.54,49.58,49.49,3.91
NULL,findlay,2023-04-30,"2023-05-01 00:00:00",151,504,12.77,1814,5.553,13.38,"2023-04-30 17:33:00",-1.849,"2023-04-30 03:46:00",66.64,100,"2023-04-30 03:59:00",28.9,"2023-04-30 17:30:00",NULL,9.72,"2023-04-30 15:26:05",4.483,355.9,37.36,5.148,9.85,1.6,0.304,0.964,"2023-04-30 15:09:20",26.22643,0,6.291,9.86,3.588,21.99,22.34,21.5,5.625,6.77,4.788,18.31,18.68,17.94,3.172,3.331,3.043,29.53,29.88,29.24,2.341,2.464,2.209,26.53,26.65,26.38,4.427
NULL,ethelbert,2023-04-30,"2023-05-01 00:00:00",768,213,12.83,7999,5.636,11.92,"2023-04-30 17:19:00",-0.735,"2023-04-30 23:36:00",65.07,90,"2023-04-30 04:30:00",36.14,"2023-04-30 17:24:00",0,8.35,"2023-04-30 15:56:00",3.154,357,34.61,3.402,6.013,1.182,0.243,1.127,"2023-04-30 12:53:10",20.97891,0.2,3.357,5.088,1.87,34.15,34.48,33.8,2.502,3.394,1.85,31.63,32.13,31.22,1.83,1.926,1.738,33.83,34.53,33.18,1.359,1.38,1.339,28.18,28.35,27.93,3.546
NULL,eriksdale,2023-04-30,"2023-05-01 00:00:00",775,218,12.72,7999,5.792,12.23,"2023-04-30 16:57:00",-1.134,"2023-04-30 06:21:00",65.45,99.9,"2023-04-30 05:00:00",32.85,"2023-04-30 15:32:00",0,13.25,"2023-04-30 14:38:40",4.629,347.6,24.01,0.235,0.647,-0.046,0.277,0.898,"2023-04-30 13:20:40",23.89105,0,6.304,9.47,3.771,41.43,41.9,40.92,5.605,6.484,4.787,42.67,42.9,41.87,2.4,2.6,2.2,37.99,38.03,37.94,3.676,3.774,3.594,54.72,54.76,54.65,4.534
NULL,elmcreek,2023-04-30,"2023-05-01 00:00:00",757,237,12.73,7999,6.002,12.59,"2023-04-30 16:09:00",0.52,"2023-04-30 05:34:00",70.2,94.7,"2023-04-30 05:35:00",39.52,"2023-04-30 17:39:00",0,15.01,"2023-04-30 17:43:10",7.736,331.1,10.38,5.383,7.996,3.045,0.293,0.975,"2023-04-30 14:06:05",25.30514,0,5.388,7.302,3.668,44.09,44.67,43.34,3.817,4.361,3.314,45.26,45.95,44.28,1.246,1.256,1.22,34.37,34.8,33.68,0.917,0.936,0.902,12.95,12.97,12.92,4.497
NULL,elma,2023-04-30,"2023-05-01 00:00:00",775,522,12.4,7999,5.613,12.41,"2023-04-30 17:16:00",-0.352,"2023-04-30 05:53:00",67.48,94,"2023-04-30 05:55:00",34.95,"2023-04-30 17:42:00",0,15.66,"2023-04-30 14:06:45",6.174,337.4,15.34,3.52,5.056,1.997,0.243,1.129,"2023-04-30 12:21:55",20.9288,0,5.054,6.189,3.881,30.29,30.47,30.03,5.233,5.578,4.9,36.89,37.04,36.64,3.189,3.276,3.079,47.88,54.47,44.22,2.836,2.907,2.761,46.55,46.6,46.5,4.352
NULL,elie,2023-04-30,"2023-05-01 00:00:00",775,536,12.73,7999,5.412,12.01,"2023-04-30 15:52:00",-0.461,"2023-04-30 06:07:00",65.4,92.7,"2023-04-30 05:48:00",32.99,"2023-04-30 16:30:00",0,14.27,"2023-04-30 15:42:40",5.307,341.4,18.57,3.056,3.975,2.26,0.301,1.071,"2023-04-30 13:36:45",25.96646,0.2,4.388,5.132,3.742,35.91,36.06,35.79,3.118,3.399,2.948,33,33.23,32.84,-0.063,-0.027,-0.091,26.13,26.22,26.06,0.246,0.262,0.225,17.7,18.05,17.35,4.375
NULL,eden,2023-04-30,"2023-05-01 00:00:00",775,545,12.8,7999,6.333,11.72,"2023-04-30 16:16:00",1.591,"2023-04-30 23:06:00",63.02,86.1,"2023-04-30 05:30:00",35.86,"2023-04-30 16:17:00",0,11.39,"2023-04-30 11:39:40",5.132,350.3,19.99,3.893,6.135,2.064,0.287,1.086,"2023-04-30 15:00:00",24.80917,0,4.491,5.786,3.457,22.41,23,21.92,3.855,4.615,3.409,25.47,25.74,25.28,1.187,1.196,1.166,5.683,5.711,5.647,1.694,1.706,1.674,8.53,8.56,8.49,4.403
NULL,dugald,2023-04-30,"2023-05-01 00:00:00",775,217,12.52,7999,6.17,12.29,"2023-04-30 15:31:00",-0.264,"2023-04-30 06:24:00",65.96,94.2,"2023-04-30 06:27:00",38.03,"2023-04-30 17:43:00",0,15.8,"2023-04-30 16:28:35",7.825,353.9,14.19,5.443,9.13,2.237,0.284,0.862,"2023-04-30 13:51:40",24.52203,0,4.889,6.508,3.307,40.35,41.08,39.66,1.248,1.382,1.201,44.37,44.68,44.15,1.333,1.35,1.317,28.86,28.95,28.79,2.079,2.09,2.072,37.83,37.86,37.8,5.076
NULL,driftingriver,2023-04-30,"2023-05-01 00:00:00",775,512,12.73,7999,6.143,12.69,"2023-04-30 16:04:00",0.624,"2023-04-30 06:16:00",64.65,97,"2023-04-30 06:17:00",34.12,"2023-04-30 15:05:00",0,8.58,"2023-04-30 11:10:35",3.448,356,33.56,5.004,6.915,3.405,0.247,1.133,"2023-04-30 14:32:40",21.33804,0,5.7,7.191,4.345,39.44,39.96,38.88,5.161,5.948,4.501,39.04,39.16,38.91,6.129,6.182,6.062,43.23,43.27,43.19,3.991,4.058,3.917,42.09,42.12,42.04,3.758
NULL,dominioncity,2023-04-30,"2023-05-01 00:00:00",775,535,12.79,7999,5.107,11.75,"2023-04-30 16:48:00",-0.609,"2023-04-30 06:18:00",72.63,93.8,"2023-04-30 06:19:00",40.33,"2023-04-30 17:31:00",0,15.78,"2023-04-30 14:16:35",7.706,340.7,16.37,2.077,3.224,0.977,0.253,1.116,"2023-04-30 13:32:05",21.84766,0,3.471,4.345,2.594,36.23,36.76,35.81,2.555,2.739,2.483,40.29,40.41,40.19,3.176,3.848,2.689,41.26,41.44,41.13,3.096,3.109,3.084,45.27,45.31,45.17,4.156
NULL,deloraine,2023-04-30,"2023-05-01 00:00:00",775,241,12.77,6877,4.567,13.45,"2023-04-30 16:31:00",-3.21,"2023-04-30 04:58:00",67.28,99.4,"2023-04-30 05:38:00",28.83,"2023-04-30 16:53:00",0,10.29,"2023-04-30 15:15:45",3.267,358,53.23,3.924,5.754,2.174,0.236,1.082,"2023-04-30 14:17:45",20.39509,0.2,5.167,6.728,3.644,33.15,33.32,32.97,4.23,4.677,3.788,29.4,29.52,29.32,4.048,4.079,3.961,41.25,41.28,41.2,2.697,2.764,2.63,31.82,31.85,31.78,3.816
NULL,dand,2023-04-30,"2023-05-01 00:00:00",775,542,12.79,4537,4.72,12.67,"2023-04-30 16:59:00",-2.829,"2023-04-30 04:58:00",67.18,96.5,"2023-04-30 06:35:00",30.24,"2023-04-30 17:40:00",0,10.17,"2023-04-30 15:57:35",3.816,0.303,39.81,4.09,6.216,1.991,0.282,1.176,"2023-04-30 14:27:10",24.35102,0.2,2.073,3.024,1.376,33.2,33.59,32.91,2.342,2.473,2.281,33.91,34.79,33.51,2.43,2.526,2.288,27.41,27.43,27.39,5.557,5.624,5.504,43.36,43.39,43.32,4.18
NULL,clearwater,2023-04-30,"2023-05-01 00:00:00",775,501,12.74,7999,5.161,11.25,"2023-04-30 16:21:00",-0.581,"2023-04-30 06:22:00",70.56,99.9,"2023-04-30 00:02:00",34.57,"2023-04-30 13:32:00",0,16.17,"2023-04-30 14:44:05",6.459,347.4,17.69,4.184,7.553,1.293,0.302,1.104,"2023-04-30 12:31:15",26.07227,0,5.544,8.22,3.056,26.47,26.74,26.02,4.532,5.56,3.65,22.38,22.63,22.12,1.864,1.925,1.784,18.51,18.67,18.36,1.603,1.616,1.59,24.25,24.39,24.1,4.515
NULL,cartwright,2023-04-30,"2023-05-01 00:00:00",775,502,12.77,7999,5.016,11.56,"2023-04-30 17:18:00",-1.045,"2023-04-30 07:07:00",69.1,100,"2023-04-30 04:54:00",32.9,"2023-04-30 14:04:00",0,12.54,"2023-04-30 12:50:20",5.373,342.3,27.95,3.466,5.722,1.507,0.279,1.013,"2023-04-30 11:48:25",24.0655,0,5.493,6.879,4.205,25.45,26.18,24.87,3.127,3.911,2.479,31.1,31.61,30.68,1.815,1.859,1.771,37.11,37.37,36.94,1.716,1.745,1.693,22.51,23.18,21.9,4.275
NULL,carman,2023-04-30,"2023-05-01 00:00:00",947,212,12.78,7999,6.652,12.52,"2023-04-30 16:12:00",0.664,"2023-04-30 06:27:00",65.17,100,"2023-04-30 05:37:00",37.14,"2023-04-30 17:47:00",0,13.27,"2023-04-30 15:57:30",4.675,336.4,18.03,7.314,11.75,3.557,0.305,1.039,"2023-04-30 14:35:30",26.29749,0,7.738,10.91,5.181,35.47,35.75,34.93,6.081,7.071,5.233,38.43,38.58,38.29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.943
