SN,StnID,StationName,stn_lat,stn_long,Region,Elevation
124,8,Cypress River,49.56,-99.07,,
125,9,Dauphin,51.1,-100.06,,
126,11,Emerson,49,-97.24,,
127,14,Gimli,50.63,-97.05,,
128,17,Gretna,49.03,-97.56,,
129,22,Kleefeld,49.52,-96.9,,
130,25,McCreary,50.71,-99.53,,
131,26,Melita,49.28,-100.99,,
132,29,Morden,49.19,-98.08,,
133,34,Pilot Mound,49.19,-98.9,,
134,35,Pinawa,50.18,-96.06,,
136,38,Roblin,51.18,-101.36,,
137,40,Shoal Lake,50.45,-100.6,,
138,41,Sprague,49.02,-95.6,,
139,44,Swan River,52.11,-101.23,,
140,45,The Pas,53.97,-101.09,,
141,51,Wasagaming,50.66,-99.94,,
142,52,Winnipeg,49.91,-97.24,,
143,55,Deerwood,49.4,-98.32,,
144,56,Fisher Branch,51.08,-97.55,,
